EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,,HIRE_DATE,SALARY,MANAGER_ID,DEPARTMENT
198,Donald,OConnell,DOCONNEL,650.507.9833,,21-Jun-07,26000,124,MARKETING
199,Douglas,Grant,DGRANT,650.507.9844,,13-Jan-08,26000,124,MARKETING
200,Jennifer,Whalen,JWHALEN,515.123.4444,,12-Jan-08,44000,101,MARKETING
201,Michael,Hartstein,MHARTSTE,515.123.5555,,17-Feb-04,13000,100,MARKETING
202,Pat,Fay,PFAY,603.123.6666,,17-Aug-05,60000,201,MARKETING
203,Susan,Mavris,SMAVRIS,515.123.7777,,7-Jun-02,65000,101,MARKETING
204,Hermann,Baer,HBAER,515.123.8888,,7-Jun-02,10000,101,MARKETING
205,Shelley,Higgins,SHIGGINS,515.123.8080,,7-Jun-02,12008,101,HR
206,William,Gietz,WGIETZ,515.123.8181,,7-Jun-02,83000,205,HR
100,Steven,King,SKING,515.123.4567,,17-Jun-03,24000, - ,HR
101,Neena,Kochhar,NKOCHHAR,515.123.4568,,21-Sep-05,17000,100,HR
102,Lex,De Haan,LDEHAAN,515.123.4569,,13-Jan-01,17000,100,HR
103,Alexander,Hunold,AHUNOLD,590.423.4567,,3-Jan-06,90000,102,HR
104,Bruce,Ernst,BERNST,590.423.4568,,21-May-07,60000,103,HR
105,David,Austin,DAUSTIN,590.423.4569,,25-Jun-05,48000,103,FINANCE
106,Valli,Pataballa,VPATABAL,590.423.4560,,5-Feb-06,48000,103,FINANCE
107,Diana,Lorentz,DLORENTZ,590.423.5567,,7-Feb-07,42000,103,FINANCE
108,Nancy,Greenberg,NGREENBE,515.124.4569,,17-Aug-02,12008,101,FINANCE
109,Daniel,Faviet,DFAVIET,515.124.4169,,16-Aug-02,90000,108,FINANCE
110,John,Chen,JCHEN,515.124.4269,,28-Sep-05,82000,108,FINANCE
111,Ismael,Sciarra,ISCIARRA,515.124.4369,,30-Sep-05,77000,108,FINANCE
112,Jose Manuel,Urman,JMURMAN,515.124.4469,,7-Mar-06,78000,108,SALES
113,Luis,Popp,LPOPP,515.124.4567,,7-Dec-07,69000,108,SALES
114,Den,Raphaely,DRAPHEAL,515.127.4561,,7-Dec-02,11000,100,SALES
115,Alexander,Khoo,AKHOO,515.127.4562,,18-May-03,31000,114,SALES
116,Shelli,Baida,SBAIDA,515.127.4563,,24-Dec-05,29000,114,SALES
117,Sigal,Tobias,STOBIAS,515.127.4564,,24-Jul-05,28000,114,SALES
118,Guy,Himuro,GHIMURO,515.127.4565,,15-Nov-06,26000,114,SALES
119,Karen,Colmenares,KCOLMENA,515.127.4566,,10-Aug-07,25000,114,IT
120,Matthew,Weiss,MWEISS,650.123.1234,,18-Jul-04,80000,100,IT
121,Adam,Fripp,AFRIPP,650.123.2234,,10-Apr-05,82000,100,IT
122,Payam,Kaufling,PKAUFLIN,650.123.3234,,1-May-03,79000,100,IT
123,Shanta,Vollman,SVOLLMAN,650.123.4234,,10-Oct-05,65000,100,IT
124,Kevin,Mourgos,KMOURGOS,650.123.5234,,16-Nov-07,58000,100,IT
125,Julia,Nayer,JNAYER,650.124.1214,,16-Jul-05,32000,120,IT
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,,28-Sep-06,27000,120,R&D
127,James,Landry,JLANDRY,650.124.1334,,14-Jan-07,24000,120,R&D
128,Steven,Markle,SMARKLE,650.124.1434,,8-Mar-08,22000,120,R&D
129,Laura,Bissot,LBISSOT,650.124.5234,,20-Aug-05,33000,121,R&D
130,Mozhe,Atkinson,MATKINSO,650.124.6234,,30-Oct-05,28000,121,R&D
131,James,Marlow,JAMRLOW,650.124.7234,,16-Feb-05,25000,121,R&D
132,TJ,Olson,TJOLSON,650.124.8234,,10-Apr-07,21000,121,R&D
133,Jason,Mallin,JMALLIN,650.127.1934,,14-Jun-04,33000,122,LEGAL
134,Michael,Rogers,MROGERS,650.127.1834,,26-Aug-06,29000,122,LEGAL
135,Ki,Gee,KGEE,650.127.1734,,12-Dec-07,24000,122,LEGAL
136,Hazel,Philtanker,HPHILTAN,650.127.1634,,6-Feb-08,22000,122,LEGAL
137,Renske,Ladwig,RLADWIG,650.121.1234,,14-Jul-03,36000,123,LEGAL
138,Stephen,Stiles,SSTILES,650.121.2034,,26-Oct-05,32000,123,LEGAL
